date,rank,region,niche,coverage_status,intake_count,evidence_ready_count,attempts_logged,suppressed_patterns,priority_score,recommended_query,safe_next_action,safety_gate,notes
2026-06-17,1,Yeppoon,salon beauty barber,researched-no-intake,0,0,2,0,109,"""Yeppoon"" ""salon beauty barber"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,2,Capricorn Coast,art gallery workshops market,researched-no-intake,0,0,3,0,101,"""Capricorn Coast"" ""art gallery workshops market"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,3,Capricorn Coast,cafe restaurant bar catering,researched-no-intake,0,0,3,0,101,"""Capricorn Coast"" ""cafe restaurant bar catering"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,4,Capricorn Coast,salon beauty barber,researched-no-intake,0,0,3,0,101,"""Capricorn Coast"" ""salon beauty barber"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,5,Emu Park,salon beauty barber,researched-no-intake,0,0,3,0,101,"""Emu Park"" ""salon beauty barber"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,6,Kawana Rockhampton,art gallery workshops market,researched-no-intake,0,0,3,0,101,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,7,Kawana Rockhampton,cleaning pest control,researched-no-intake,0,0,3,0,101,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,8,Kawana Rockhampton,landscaping excavation mini digger,researched-no-intake,0,0,3,0,101,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,9,Kawana Rockhampton,salon beauty barber,researched-no-intake,0,0,3,0,101,"""Kawana Rockhampton"" ""salon beauty barber"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,10,Rockhampton,art gallery workshops market,researched-no-intake,0,0,3,0,101,"""Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,11,Rockhampton,cleaning pest control,researched-no-intake,0,0,3,0,101,"""Rockhampton"" ""cleaning pest control"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,12,Rockhampton,landscaping excavation mini digger,researched-no-intake,0,0,3,0,101,"""Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,13,Rockhampton,salon beauty barber,researched-no-intake,0,0,3,0,101,"""Rockhampton"" ""salon beauty barber"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,14,Yeppoon,cleaning pest control,researched-no-intake,0,0,3,0,101,"""Yeppoon"" ""cleaning pest control"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,15,Yeppoon,landscaping excavation mini digger,researched-no-intake,0,0,3,0,101,"""Yeppoon"" ""landscaping excavation mini digger"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
2026-06-17,16,Capricorn Coast,landscaping excavation mini digger,researched-no-intake,0,0,4,0,93,"""Capricorn Coast"" ""landscaping excavation mini digger"" Facebook Instagram website",Try a higher-quality public source family and log the result.,"Coverage heatmap is research-only and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.","Use to balance Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park coverage."
